"Agency ID"," Description"
"CA-Delta","Delta Protection Commission"
"CA-DFG","Department of Fish and Game"
"CA-DMV","Department of Motor Vehicles"
"CA-DOConserv","Department of Conservation"
"CA-DOD","US Deparment of Defense"
"CA-DOH","State Department of Health Services"
"CA-DPR","Dept of Parks and Recreation"
"CA-DWR","Dept of Water Resources"
"CA-GS","Government Services"
"CA-Harbors","Harbors and watercraft commission, or Harbor districts"
"CA-HCD","Dept of Housing and Community Development"
"CA-HHSA","state board of health and safety"
"CA-LWDA","Labor & Workforce Development Agency"
"CA-MXSoCAL","Marine Exchange of Los Angeles-Long Beach Harbor"
"CA-NODC","Navigation and Ocean Development Commission"
"CA-OEE","Office of Education and Environment"
"CA-OES","Office of Emergency Services"
"CA-ORMP","Ocean Resources Management Program"
"CA-PilotComm","State Board of Pilot Commissioners for the Bays of San Francisco, San Pablo and Suisun"
"CA-PUC","Public Utilities Commission"
"CA-RECBD","California Reclamation Board"
"CA-RegionalParks","Regional Park Districts"
"CA-SCSA","State and Consumer Services Agency"
"CA-SFBCDC","San Francisco Bay Conservation and Development Commission"
"CA-SFBCP","SF Bay Conservancy Program"
"CA-SIOSC","State Interagency Oil Spill Commission"
"CA-SLC","State Lands Commission"
"CA-SMBRC","Santa Monica Bay Restoration Commission"
"CA-SMMC","Santa Monica Mountains Conservancy"
"CA-State","State"
"CA-SUC","Sea Urchin Commission"
"CA-SWRCB","State Water Resources Control Board"
"CA-USArmy","US Army"
"CA-USCG","US Coast Guard"
"CA-USCS","US Coast Survey"
"CA-OSHA","Occupational Safety and Hazards Administration"
"OR-CRGC","Columbia River Gorge Commission"
"OR-OOSHD","Oregon Occupational Safety and Health Division"
"OR-DCBS","Department of Consumer and Business Services"
"OR-DEQ","Department of Environmental Quality"
"OR-DFW","Department of Fish and Wildlife"
"OR-DGM","Department of Geology and Mineral Industries"
"OR-DLCD","Department of Land Conservation and Development"
"OR-DOA","Department of Agriculture"
"OR-OAC","Oregon Albacore Commission"
"OR-ODCC","Oregon Dungeness Crab Commission"
"OR-OSC","Oregon Salmon Commission"
"OR-OTC","Oregon Trawl Commission"
"OR-DOAv","Oregon Department of Aviation"
"OR-DOE","Department of Energy"
"OR-EFSC","Energy Facility Siting Council"
"OR-DOF","Department of Forestry"
"OR-DOR","Department of Revenue"
"OR-DSL","Department of State Lands"
"OR-ECDD","Economic and Community Development Department"
"OR-DOT","Department of Transportation"
"OR-BMP","Board of Maritime Pilots"
"OR-SSNER","South Slough National Estuarine Research Reserve Management Commission"
"OR-LCDD","Land Conservation and Development Department"
"OR-OSMB","Oregon State Marine Board"
"OR-PMFC","Pacific Marine Fisheries Commission"
"OR-PRD","Parks and Recreation Department"
"OR-State","State"
"OR-WRD","Water Resources Department"
"WA-Port","Port Commission"
